pl_name,hostname,ra,dec,sy_vmag,sy_jmag,sy_kmag,st_teff,st_logg,st_met,st_age,st_ageerr1,st_ageerr2,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
Kepler-909 b,Kepler-909,289.5063796,45.3709728,11.626,10.586,10.274,6154.0,4.33,0.08,2.88,0.927,-1.14,13.93290318,1.47,2.5119,Kepler,2016,Kepler
Kepler-705 b,Kepler-705,289.5085612,41.8120234,16.331,13.446,12.536,3722.0,4.75,0.07,3.89,5.21,-2.16,56.0560538,2.11,4.595,Kepler,2016,Kepler
Kepler-573 b,Kepler-573,289.5211955,51.2374057,14.292,13.032,12.636,5746.0,4.41,0.02,5.89,2.49,-3.35,22.18329658,2.79,5.0606,Kepler,2016,Kepler
Kepler-1359 b,Kepler-1359,289.538818,41.8928154,15.987,14.042,13.43,4709.0,4.62,0.11,2.34,5.38,-0.93,59.4970952,2.83,5.602,Kepler,2016,Kepler
Kepler-1962 b,Kepler-1962,289.5483989,40.1641457,15.146,13.773,13.412,5700.0,4.434,0.16,,,,7.991459846,1.21463929,3.2,Kepler,2021,Kepler
Kepler-1688 b,Kepler-1688,289.5530051,41.2978532,14.142,12.388,11.755,4632.11,4.6,-0.046,14.0,3.5,-3.5,5.62012,1.26174569,2.751,Kepler,2020,Kepler
Kepler-175 b,Kepler-175,289.553232,43.876116,15.225,13.773,13.496,6064.0,4.472,0.04,3.39,1.48,-1.64,11.903515,2.56,4.215,Kepler,2014,Kepler
Kepler-175 c,Kepler-175,289.553232,43.876116,15.225,13.773,13.496,6064.0,4.472,0.04,3.39,1.48,-1.64,34.035257,3.1,7.057,Kepler,2014,Kepler
Kepler-933 b,Kepler-933,289.5685257,43.5385438,15.614,14.1,13.582,5346.0,4.54,-0.02,4.68,6.47,-2.93,14.20443009,2.46,3.979,Kepler,2016,Kepler
Kepler-1028 b,Kepler-1028,289.5931004,49.7812447,14.611,13.124,12.63,5522.0,4.52,-0.09,4.68,5.6,-3.03,2.51462432,1.33,1.6093,Kepler,2016,Kepler
Kepler-250 c,Kepler-250,289.5947633,44.1418114,15.819,14.0,13.483,5160.0,4.565,0.01,13.2,3.7,-3.7,7.156804,2.28,2.567,Kepler,2014,Kepler
Kepler-250 b,Kepler-250,289.5947633,44.1418114,15.819,14.0,13.483,5160.0,4.565,0.01,13.2,3.7,-3.7,4.148141,1.13,2.403,Kepler,2014,Kepler
Kepler-250 d,Kepler-250,289.5947633,44.1418114,15.819,14.0,13.483,5160.0,4.565,0.01,13.2,3.7,-3.7,17.648312,2.18,1.98,Kepler,2014,Kepler
Kepler-856 b,Kepler-856,289.6038379,46.3149097,15.594,14.277,13.905,5535.0,4.49,0.12,4.27,5.3,-2.67,8.027680595,9.3,3.1401,Kepler,2016,Kepler
Kepler-77 b,Kepler-77,289.6079433,44.3454347,14.152,12.758,12.361,5520.0,4.42,0.2,7.5,2.0,-2.0,3.57878087,10.761,2.93376,Kepler,2013,Kepler
Kepler-970 b,Kepler-970,289.6252192,40.7087351,15.21,12.98,12.215,4290.0,4.618,0.04,0.105,0.01,-0.01,16.736525,2.609,2.2,Kepler,2016,Kepler
Kepler-1447 b,Kepler-1447,289.6434285,50.727016,14.747,13.526,13.124,5722.0,4.47,-0.03,4.17,4.03,-2.41,56.6747285,2.9,5.422,Kepler,2016,Kepler
Kepler-1311 c,Kepler-1311,289.6512597,43.8244445,13.528,12.169,11.825,5748.0,4.16,0.09,7.59,1.7,-2.06,2.53573424,1.22,3.941,Kepler,2016,Kepler
Kepler-1311 d,Kepler-1311,289.6512597,43.8244445,13.528,12.169,11.825,5616.0,4.004,0.04,7.59,0.54,-0.51,197.5110016,9.65837605,11.2447,Kepler,2021,Kepler
Kepler-1311 b,Kepler-1311,289.6512597,43.8244445,13.528,12.169,11.825,5748.0,4.16,0.09,7.59,1.7,-2.06,11.1726994,1.24,6.007,Kepler,2016,Kepler
Kepler-509 b,Kepler-509,289.664394,48.706165,11.848,10.793,10.483,6060.0,4.32,0.01,4.27,0.8,-0.76,41.74600392,2.49,4.6058,Kepler,2016,Kepler
Kepler-1471 c,Kepler-1471,289.6649171,50.0200612,15.421,14.037,13.604,5533.0,4.275,0.16,4.57,4.72,-2.77,11.6044881,1.88,3.409,Kepler,2023,Kepler
Kepler-1471 b,Kepler-1471,289.6649171,50.0200612,15.421,14.037,13.604,5660.0,4.48,-0.03,4.57,4.72,-2.77,3.63899398,1.41,2.213,Kepler,2016,Kepler
Kepler-1896 b,Kepler-1896,289.6785786,40.2496475,15.844,14.548,14.165,6122.0,4.471,-0.1,,,,44.87020111,3.09935997,4.199,Kepler,2021,Kepler
Kepler-926 b,Kepler-926,289.6793396,40.7004265,14.431,13.105,12.687,5806.0,4.43,0.03,4.37,2.98,-2.55,52.0688601,2.31,3.0436,Kepler,2016,Kepler
Kepler-1864 b,Kepler-1864,289.6867653,41.5889178,12.123,10.986,10.666,5854.0,4.469,0.06,1.62,1.2,-1.08,3.881510019,0.75408365,2.797,Kepler,2021,Kepler
Kepler-1430 b,Kepler-1430,289.6975391,43.3719581,15.567,13.546,12.932,4796.0,4.62,-0.03,2.09,5.26,-0.734,2.46050993,1.18,2.003,Kepler,2016,Kepler
Kepler-1504 b,Kepler-1504,289.7119947,50.1282265,15.883,14.409,13.834,5393.0,4.55,-0.17,4.47,6.05,-2.84,82.304003,2.13,13.843,Kepler,2016,Kepler
Kepler-902 b,Kepler-902,289.7317067,46.953875,14.992,13.659,13.26,5647.0,4.49,0.0,4.37,4.45,-2.61,40.1099547,2.54,5.1836,Kepler,2016,Kepler
Kepler-1687 b,Kepler-1687,289.7428363,50.7870626,15.928,13.491,12.739,4132.0,4.52897,-0.14,3.73,0.4,-0.4,5.77954,1.65623882,2.5213,Kepler,2020,Kepler
Kepler-1181 b,Kepler-1181,289.7473165,39.5234131,13.549,12.606,12.363,6176.0,4.27,0.03,3.24,1.0,-1.3,4.89337519,1.57,3.316,Kepler,2016,Kepler
Kepler-1181 c,Kepler-1181,289.7473165,39.5234131,13.549,12.606,12.363,6688.0,4.304,0.07,3.24,1.0,-1.3,8.93484887,1.83,2.579,Kepler,2023,Kepler
Kepler-444 e,Kepler-444,289.7528323,41.631884,8.87,7.244,6.703,5046.0,4.5625,-0.55,11.23,0.91,-0.99,7.743493,0.546,2.7852,Kepler,2015,Kepler
Kepler-444 d,Kepler-444,289.7528323,41.631884,8.87,7.244,6.703,5046.0,4.5625,-0.55,11.23,0.91,-0.99,6.189392,0.53,2.2112,Kepler,2015,Kepler
Kepler-444 c,Kepler-444,289.7528323,41.631884,8.87,7.244,6.703,5046.0,4.5625,-0.55,11.23,0.91,-0.99,4.5458841,0.497,1.7367,Kepler,2015,Kepler
Kepler-444 b,Kepler-444,289.7528323,41.631884,8.87,7.244,6.703,5046.0,4.5625,-0.55,11.23,0.91,-0.99,3.6001053,0.403,2.0452,Kepler,2015,Kepler
Kepler-444 f,Kepler-444,289.7528323,41.631884,8.87,7.244,6.703,5046.0,4.5625,-0.55,11.23,0.91,-0.99,9.740486,0.741,1.6909,Kepler,2015,Kepler
PH2 b,PH2,289.7636212,51.962683,12.645,11.501,11.116,5734.0,4.47,0.017,4.1,4.3,-2.8,282.52542,9.33708092,10.81,Kepler,2013,Kepler
Kepler-635 b,Kepler-635,289.7732613,40.8007019,13.36,12.235,11.903,6174.0,4.2,0.41,2.34,0.45,-0.626,23.44971004,2.64,8.6525,Kepler,2016,Kepler
Kepler-1736 b,Kepler-1736,289.7766991,38.2622374,14.808,13.472,13.073,6085.0,4.451,-0.28,1.7,1.7,-1.7,37.81029892,3.8765856,8.733,Kepler,2021,Kepler
Kepler-154 c,Kepler-154,289.7805393,49.8965624,14.646,13.389,12.986,5690.0,4.415,0.02,8.91,2.05,-1.99,62.303276,2.95,7.51,Kepler,2014,Kepler
